KNOT	A	B1	B2	B3	SEX	AGE	PERCENTILE	CHART
0	0.464421e 02	0.417604e 01	-0.276242e 00	0.875978e-02	M	1	5	1
0.900000e 01	0.680368e 02	0.133232e 01	-0.397275e-01	0.958204e-03				
0.240000e 02	0.823168e 02	0.787284e 00	0.339168e-02	-0.591845e-03				
0	0.453545e 02	0.414118e 01	-0.292865e 00	0.993348e-02	F	1	5	1
0.900000e 01	0.661445e 02	0.128345e 01	-0.246609e-01	0.422265e-03				
0.240000e 02	0.812727e 02	0.828649e 00	-0.565898e-02	-0.232760e-03				
0	0.254353e 01	0.606179e 00	0.155402e-01	-0.251296e-02	M	1	5	2
0.600000e 01	0.619726e 01	0.521262e 00	-0.296931e-01	0.816696e-03				
0.180000e 02	0.958785e 01	0.161441e 00	-0.292026e-03	-0.235454e-04				
0	0.236498e 01	0.603840e 00	0.543549e-02	-0.180080e-02	F	1	5	2
0.600000e 01	0.579472e 01	0.474579e 00	-0.269789e-01	0.762654e-03				
0.180000e 02	0.892258e 01	0.156553e 00	0.476655e-03	-0.499649e-04				
0	0.474674e 02	0.412483e 01	-0.266517e 00	0.835028e-02	M	1	10	1
0.900000e 01	0.690903e 02	0.135664e 01	-0.410596e-01	0.977121e-03				
0.240000e 02	0.834993e 02	0.784409e 00	0.291083e-02	-0.556698e-03				
0	0.464997e 02	0.398599e 01	-0.272541e 00	0.920683e-02	F	1	10	1
0.900000e 01	0.670096e 02	0.131752e 01	-0.239560e-01	0.322033e-03				
0.240000e 02	0.824693e 02	0.816216e 00	-0.946454e-02	0.376068e-04				
0	0.277655e 01	0.646358e 00	0.146883e-01	-0.265191e-02	M	1	10	2
0.600000e 01	0.661066e 01	0.536211e 00	-0.330460e-01	0.945188e-03				
0.180000e 02	0.991985e 01	0.151427e 00	0.980725e-03	-0.463389e-04				
0	0.257689e 01	0.640403e 00	0.131534e-02	-0.160388e-02	F	1	10	2
0.600000e 01	0.612022e 01	0.482968e 00	-0.275544e-01	0.781053e-03				
0.180000e 02	0.929766e 01	0.159077e 00	0.563480e-03	-0.470688e-04				
0	0.489664e 02	0.429280e 01	-0.299102e 00	0.994669e-02	M	1	25	1
0.900000e 01	0.706255e 02	0.132602e 01	-0.305411e-01	0.570246e-03				
0.240000e 02	0.855685e 02	0.794698e 00	-0.488003e-02	-0.961520e-04				
0	0.482462e 02	0.389209e 01	-0.257432e 00	0.854692e-02	F	1	25	1
0.900000e 01	0.686536e 02	0.133521e 01	-0.266655e-01	0.444036e-03				
0.240000e 02	0.841806e 02	0.834965e 00	-0.668386e-02	-0.107255e-03				
0	0.300404e 01	0.836248e 00	-0.186981e-01	-0.687619e-03	M	1	25	2
0.600000e 01	0.719987e 01	0.537608e 00	-0.310752e-01	0.863047e-03				
0.180000e 02	0.106677e 02	0.164639e 00	-0.553660e-05	-0.877156e-05				
0	0.292729e 01	0.664295e 00	0.388570e-03	-0.152783e-02	F	1	25	2
0.600000e 01	0.659704e 01	0.503952e 00	-0.271124e-01	0.753219e-03				
0.180000e 02	0.100419e 02	0.178647e 00	0.354136e-05	-0.453051e-04				
0	0.504846e 02	0.438205e 01	-0.312122e 00	0.105518e-01	M	1	50	1
0.900000e 01	0.723334e 02	0.132795e 01	-0.272226e-01	0.449573e-03				
0.240000e 02	0.876448e 02	0.814729e 00	-0.699182e-02	0.592644e-04				
0	0.498596e 02	0.394030e 01	-0.263401e 00	0.886442e-02	F	1	50	1
