"date","pounds","ounces","weight.lb","delta"
2012-03-06,9,4,9.25,0.63
2012-03-07,NA,NA,NA,1
2012-03-08,NA,NA,NA,1
2012-03-09,NA,NA,NA,1
2012-03-10,9,8,9.5,1
2012-03-11,9,8.5,9.53125,0.5
2012-03-12,9,9,9.5625,0.5
2012-03-13,9,9.5,9.59375,0.5
2012-03-14,9,10,9.625,0.5
2012-03-15,9,11.5,9.71875,1.5
2012-03-16,9,11,9.6875,-0.5
2012-03-17,NA,NA,NA,1.33333333333333
2012-03-18,NA,NA,NA,1.33333333333333
2012-03-19,9,15,9.9375,1.33333333333333
2012-03-20,10,0,10,1
2012-03-21,9,15.5,9.96875,-0.5
2012-03-22,NA,NA,NA,1.75
2012-03-23,10,3,10.1875,1.75
2012-03-24,10,5,10.3125,2
2012-03-25,NA,NA,NA,0.5
2012-03-26,10,6,10.375,0.5
2012-03-27,10,9,10.5625,3
2012-03-28,10,8,10.5,-1
2012-03-29,10,9,10.5625,1
2012-03-30,10,13.5,10.84375,4.5
2012-03-31,10,14.5,10.90625,1
2012-04-01,11,1.5,11.09375,3
2012-04-02,11,1,11.0625,-0.5
2012-04-03,11,2,11.125,1
2012-04-04,11,3,11.1875,1
2012-04-05,11,3.5,11.21875,0.5
2012-04-06,11,4.5,11.28125,1
2012-04-07,11,5,11.3125,0.5
2012-04-08,NA,NA,NA,2
2012-04-09,11,9,11.5625,2
2012-04-10,11,9,11.5625,0
2012-04-11,11,11,11.6875,2
2012-04-12,11,10,11.625,-1
2012-04-13,11,11.5,11.71875,1.5
2012-04-14,11,13,11.8125,1.5
2012-04-15,NA,NA,NA,0.75
2012-04-16,11,14.5,11.90625,0.75
2012-04-17,11,13,11.8125,-1.5
2012-04-18,11,12,11.75,-1
2012-04-19,NA,NA,NA,1.83333333333333
2012-04-20,NA,NA,NA,1.83333333333333
2012-04-21,12,1.5,12.09375,1.83333333333333
2012-04-22,NA,NA,NA,0.5
2012-04-23,12,2.5,12.15625,0.5
2012-04-24,12,3,12.1875,0.5
2012-04-25,12,3.5,12.21875,0.5
2012-04-26,12,4,12.25,0.5
2012-04-27,12,7,12.4375,3
2012-04-28,12,6,12.375,-1
2012-04-29,12,7.5,12.46875,1.5
2012-04-30,12,7,12.4375,-0.5
2012-05-01,12,11,12.6875,4
2012-05-02,12,11,12.6875,0
2012-05-03,12,14.5,12.90625,3.5
2012-05-04,12,11,12.6875,-3.5
2012-05-05,12,13.5,12.84375,2.5
2012-05-06,12,14.5,12.90625,1
2012-05-07,12,14,12.875,-0.5
2012-05-08,12,13.5,12.84375,-0.5
2012-05-09,12,14.5,12.90625,1
2012-05-10,13,0,13,1.5
2012-05-11,13,4.5,13.28125,4.5
2012-05-12,13,1,13.0625,-3.5
2012-05-13,NA,NA,NA,0.5
2012-05-14,13,2,13.125,0.5
2012-05-15,13,4,13.25,2
2012-05-16,13,3.5,13.21875,-0.5
2012-05-17,13,5.5,13.34375,2
2012-05-18,NA,NA,NA,0.25
2012-05-19,13,6,13.375,0.25
2012-05-20,NA,NA,NA,-0.25
2012-05-21,13,5.5,13.34375,-0.25
2012-05-22,13,8,13.5,2.5
2012-05-23,13,7,13.4375,-1
2012-05-24,NA,NA,NA,NA
2012-05-25,13,11.5,13.71875,NA
2012-05-26,NA,NA,NA,NA
2012-05-27,13,8,13.5,NA
2012-05-28,13,9,13.5625,NA
2012-05-29,13,7,13.4375,NA
2012-05-30,NA,NA,NA,NA
2012-05-31,13,12,13.75,NA
2012-06-01,13,10.5,13.65625,NA
2012-06-02,NA,NA,NA,NA
2012-06-03,13,12,13.75,NA
2012-06-04,13,12.5,13.78125,NA
2012-06-05,14,4,14.25,NA
2012-06-06,14,6.5,14.40625,NA
2012-06-07,14,0,14,NA
2012-06-08,14,1,14.0625,NA
2012-06-09,NA,NA,NA,NA
2012-06-10,NA,NA,NA,NA
2012-06-11,14,2.5,14.15625,NA
2012-06-12,NA,NA,NA,NA
2012-06-13,14,8,14.5,NA
2012-06-14,NA,NA,NA,NA
2012-06-15,14,12.5,14.78125,NA
2012-06-16,NA,NA,NA,NA
2012-06-17,14,9,14.5625,NA
2012-06-18,NA,NA,NA,NA
2012-06-19,NA,NA,NA,NA
2012-06-20,14,14,14.875,NA
2012-06-21,14,13.5,14.84375,NA
2012-06-22,NA,NA,NA,NA
2012-06-23,NA,NA,NA,NA
2012-06-24,14,15,14.9375,NA
2012-06-25,15,0,15,NA
